,Institution,Found Year,Total Students,Total International Students,Undergraduate Students,Undergraduate International Students,Graduate Students,Graduate International Students
0,Hengyang Normal University,1904,,,,,,
0,TianJin University of Technology and Education,1979,,,,,,
0,Hubei University of Science and Technology,1937,,,,,,
0,Panzhihua University,1983,,,,,,
0,Yichun University,1958,,,,,,
0,Zhongkai University of Agriculture and Engineering,1927,,,,,,
0,Fuyang Normal University,1956,,,,,,
0,Nanjing XiaoZhuang University,1927,,,,,,
0,Jiangsu Second Normal University,1952,,,,,,
0,LingNan Normal University,1904,,,,,,
0,Tibet Agriculture and Animal Husbandry University,1972,,,,,,
0,Huizhou University,1921,,,,,,
0,Hunan University of Arts and Science,1958,,,,,,
0,Neijiang Normal University,1956,,,,,,
0,Heilongjiang Institute of Technology,1952,,,,,,
0,Nanyang Institute of Technology,1987,,,,,,
0,Lishui University,1907,,,,,,
0,Qiqihar University,1952,,,,,,
0,Zhejiang University of Water Resources and Electric Power,1953,,,,,,
0,Anyang Normal University,1908,,,,,,
0,Huanghuai University,1973,,,,,,
0,Nanyang Normal University,1907,,,,,,
0,Shangrao Normal University,1958,,,,,,
0,Dezhou University,1971,,,,,,
0,Yulin Normal University,1945,,,,,,
0,Shaanxi University of Technology,1958,,,,,,
0,Xi'an University,2003,,,,,,
0,Xuzhou Institute of Technology,2002,,,,,,
0,Zhoukou Normal University,1973,,,,,,
0,Taishan University,1958,,,,,,
0,Xinyang Agriculture and Forestry University,1910,,,,,,
0,Sanming University,1903,,,,,,
0,Zaozhuang University,1971,,,,,,
0,Chongqing Three Gorges University,1956,,,,,,
0,Hubei University of Automotive Technology,1972,,,,,,
0,Chengdu Normal University,1955,,,,,,
0,Guangxi University of Science and Technology,1958,,,,,,
0,Guangdong University of Petrochemical Technology,1954,,,,,,
0,Chuzhou University,1950,,,,,,
0,Guangdong University of Education,1955,,,,,,
0,Weifang University,1951,,,,,,
0,Institute of Disaster Prevention,1975,,,,,,
0,Hubei Engineering University,1943,,,,,,
0,Hubei Polytechnic University,1975,,,,,,
0,Hunan University of Science and Engineering,1941,,,,,,
0,Huaihua University,1958,,,,,,
0,Hunan City University,2002,,,,,,
0,Suqian College,2002,,,,,,
0,Xiangnan University,1912,,,,,,
